No	Time	T1/T2	Value	Unit	Judge
220	2018/03/22_15:10:48	T1	296.1	K-T	Fail
221	2018/03/22_15:10:49	T1	296.2	K-T	Fail
222	2018/03/22_15:10:50	T1	296.1	K-T	Fail
223	2018/03/22_15:10:51	T1	296.1	K-T	Fail
224	2018/03/22_15:10:52	T1	296.1	K-T	Fail
225	2018/03/22_15:10:53	T1	296.2	K-T	Fail
226	2018/03/22_15:10:54	T1	296.1	K-T	Fail
227	2018/03/22_15:10:55	T1	296.1	K-T	Fail
228	2018/03/22_15:10:56	T1	296.1	K-T	Fail
229	2018/03/22_15:10:57	T1	296.1	K-T	Fail
230	2018/03/22_15:10:58	T1	296.1	K-T	Fail
231	2018/03/22_15:10:59	T1	296.1	K-T	Fail
232	2018/03/22_15:11:00	T1	296.1	K-T	Fail
233	2018/03/22_15:11:01	T1	296.1	K-T	Fail
234	2018/03/22_15:11:02	T1	296.1	K-T	Fail
235	2018/03/22_15:11:03	T1	296.1	K-T	Fail
236	2018/03/22_15:11:04	T1	296.1	K-T	Fail
237	2018/03/22_15:11:05	T1	296.1	K-T	Fail
238	2018/03/22_15:11:06	T1	296.1	K-T	Fail
239	2018/03/22_15:11:07	T1	296.1	K-T	Fail
240	2018/03/22_15:11:08	T1	296.1	K-T	Fail
241	2018/03/22_15:11:09	T1	296.1	K-T	Fail
242	2018/03/22_15:11:10	T1	296.1	K-T	Fail
243	2018/03/22_15:11:11	T1	296.1	K-T	Fail
244	2018/03/22_15:11:12	T1	296.1	K-T	Fail
245	2018/03/22_15:11:13	T1	296.1	K-T	Fail
246	2018/03/22_15:11:14	T1	296.1	K-T	Fail
247	2018/03/22_15:11:15	T1	296.1	K-T	Fail
248	2018/03/22_15:11:16	T1	296.1	K-T	Fail
249	2018/03/22_15:11:17	T1	296.1	K-T	Fail
250	2018/03/22_15:11:18	T1	296.1	K-T	Fail
251	2018/03/22_15:11:19	T1	296.1	K-T	Fail
252	2018/03/22_15:11:20	T1	296.1	K-T	Fail
253	2018/03/22_15:11:21	T1	296.1	K-T	Fail
254	2018/03/22_15:11:22	T1	296.1	K-T	Fail
255	2018/03/22_15:11:23	T1	296.1	K-T	Fail
256	2018/03/22_15:11:24	T1	296.1	K-T	Fail
257	2018/03/22_15:11:25	T1	296.1	K-T	Fail
258	2018/03/22_15:11:26	T1	296.1	K-T	Fail
259	2018/03/22_15:11:27	T1	296.1	K-T	Fail
260	2018/03/22_15:11:28	T1	296.1	K-T	Fail
261	2018/03/22_15:11:29	T1	296.2	K-T	Fail
262	2018/03/22_15:11:30	T1	296.1	K-T	Fail
263	2018/03/22_15:11:31	T1	296.1	K-T	Fail
264	2018/03/22_15:11:32	T1	296.1	K-T	Fail
265	2018/03/22_15:11:33	T1	296.1	K-T	Fail
266	2018/03/22_15:11:34	T1	296.2	K-T	Fail
267	2018/03/22_15:11:35	T1	296.1	K-T	Fail
268	2018/03/22_15:11:36	T1	296.1	K-T	Fail
269	2018/03/22_15:11:37	T1	296.1	K-T	Fail
270	2018/03/22_15:11:38	T1	296.1	K-T	Fail
271	2018/03/22_15:11:39	T1	296.1	K-T	Fail
272	2018/03/22_15:11:40	T1	296.1	K-T	Fail
273	2018/03/22_15:11:41	T1	296.1	K-T	Fail
274	2018/03/22_15:11:42	T1	296.1	K-T	Fail
275	2018/03/22_15:11:43	T1	296.1	K-T	Fail
276	2018/03/22_15:11:44	T1	296.1	K-T	Fail
277	2018/03/22_15:11:45	T1	296.1	K-T	Fail
278	2018/03/22_15:11:46	T1	296.1	K-T	Fail
279	2018/03/22_15:11:47	T1	296.1	K-T	Fail
280	2018/03/22_15:11:48	T1	296.1	K-T	Fail
281	2018/03/22_15:11:49	T1	296.2	K-T	Fail
282	2018/03/22_15:11:50	T1	296.1	K-T	Fail
283	2018/03/22_15:11:51	T1	296.1	K-T	Fail
284	2018/03/22_15:11:52	T1	296.1	K-T	Fail
285	2018/03/22_15:11:53	T1	296.1	K-T	Fail
286	2018/03/22_15:11:54	T1	296.1	K-T	Fail
287	2018/03/22_15:11:55	T1	296.1	K-T	Fail
288	2018/03/22_15:11:56	T1	296.1	K-T	Fail
289	2018/03/22_15:11:57	T1	296.2	K-T	Fail
290	2018/03/22_15:11:58	T1	296.2	K-T	Fail
291	2018/03/22_15:11:59	T1	296.2	K-T	Fail
292	2018/03/22_15:12:00	T1	296.2	K-T	Fail
293	2018/03/22_15:12:01	T1	296.1	K-T	Fail
294	2018/03/22_15:12:02	T1	296.2	K-T	Fail
295	2018/03/22_15:12:03	T1	296.2	K-T	Fail
296	2018/03/22_15:12:04	T1	296.2	K-T	Fail
297	2018/03/22_15:12:05	T1	296.2	K-T	Fail
298	2018/03/22_15:12:06	T1	296.2	K-T	Fail
299	2018/03/22_15:12:07	T1	296.2	K-T	Fail
300	2018/03/22_15:12:08	T1	296.2	K-T	Fail
301	2018/03/22_15:12:09	T1	296.2	K-T	Fail
302	2018/03/22_15:12:10	T1	296.2	K-T	Fail
303	2018/03/22_15:12:11	T1	296.2	K-T	Fail
304	2018/03/22_15:12:12	T1	296.2	K-T	Fail
305	2018/03/22_15:12:13	T1	296.2	K-T	Fail
306	2018/03/22_15:12:14	T1	296.2	K-T	Fail
307	2018/03/22_15:12:15	T1	296.2	K-T	Fail
308	2018/03/22_15:12:16	T1	296.2	K-T	Fail
309	2018/03/22_15:12:17	T1	296.2	K-T	Fail
310	2018/03/22_15:12:18	T1	296.2	K-T	Fail
311	2018/03/22_15:12:19	T1	296.2	K-T	Fail
312	2018/03/22_15:12:20	T1	296.2	K-T	Fail
313	2018/03/22_15:12:21	T1	296.2	K-T	Fail
314	2018/03/22_15:12:22	T1	296.2	K-T	Fail
315	2018/03/22_15:12:23	T1	296.2	K-T	Fail
316	2018/03/22_15:12:24	T1	296.2	K-T	Fail
317	2018/03/22_15:12:25	T1	296.2	K-T	Fail
318	2018/03/22_15:12:26	T1	296.2	K-T	Fail
319	2018/03/22_15:12:27	T1	296.2	K-T	Fail
320	2018/03/22_15:12:28	T1	296.2	K-T	Fail
321	2018/03/22_15:12:29	T1	296.2	K-T	Fail
322	2018/03/22_15:12:30	T1	296.2	K-T	Fail
323	2018/03/22_15:12:31	T1	296.2	K-T	Fail
324	2018/03/22_15:12:32	T1	296.2	K-T	Fail
325	2018/03/22_15:12:33	T1	296.2	K-T	Fail
326	2018/03/22_15:12:34	T1	296.2	K-T	Fail
327	2018/03/22_15:12:35	T1	296.2	K-T	Fail
328	2018/03/22_15:12:36	T1	296.2	K-T	Fail
329	2018/03/22_15:12:37	T1	296.2	K-T	Fail
330	2018/03/22_15:12:38	T1	296.2	K-T	Fail
331	2018/03/22_15:12:39	T1	296.2	K-T	Fail
332	2018/03/22_15:12:40	T1	296.2	K-T	Fail
333	2018/03/22_15:12:41	T1	296.2	K-T	Fail
334	2018/03/22_15:12:42	T1	296.2	K-T	Fail
335	2018/03/22_15:12:43	T1	296.2	K-T	Fail
336	2018/03/22_15:12:44	T1	296.2	K-T	Fail
337	2018/03/22_15:12:45	T1	296.2	K-T	Fail
338	2018/03/22_15:12:46	T1	296.2	K-T	Fail
339	2018/03/22_15:12:47	T1	296.2	K-T	Fail
340	2018/03/22_15:12:48	T1	296.2	K-T	Fail
341	2018/03/22_15:12:49	T1	296.2	K-T	Fail
342	2018/03/22_15:12:50	T1	296.2	K-T	Fail
343	2018/03/22_15:12:51	T1	296.2	K-T	Fail
344	2018/03/22_15:12:52	T1	296.2	K-T	Fail
345	2018/03/22_15:12:53	T1	296.2	K-T	Fail
346	2018/03/22_15:12:54	T1	296.2	K-T	Fail
347	2018/03/22_15:12:55	T1	296.2	K-T	Fail
348	2018/03/22_15:12:56	T1	296.2	K-T	Fail
349	2018/03/22_15:12:57	T1	296.2	K-T	Fail
350	2018/03/22_15:12:58	T1	296.2	K-T	Fail
351	2018/03/22_15:12:59	T1	296.2	K-T	Fail
352	2018/03/22_15:13:00	T1	296.2	K-T	Fail
353	2018/03/22_15:13:01	T1	296.2	K-T	Fail
354	2018/03/22_15:13:02	T1	296.2	K-T	Fail
355	2018/03/22_15:13:03	T1	296.2	K-T	Fail
356	2018/03/22_15:13:04	T1	296.2	K-T	Fail
357	2018/03/22_15:13:05	T1	296.2	K-T	Fail
358	2018/03/22_15:13:06	T1	296.2	K-T	Fail
359	2018/03/22_15:27:54	T1	296.0	K-T	Fail
360	2018/03/22_15:27:55	T1	296.1	K-T	Fail
361	2018/03/22_15:27:56	T1	296.1	K-T	Fail
362	2018/03/22_15:27:57	T1	296.1	K-T	Fail
363	2018/03/22_15:27:58	T1	296.1	K-T	Fail
364	2018/03/22_15:27:59	T1	296.1	K-T	Fail
365	2018/03/22_15:28:00	T1	296.0	K-T	Fail
366	2018/03/22_15:28:01	T1	296.1	K-T	Fail
367	2018/03/22_15:28:02	T1	296.1	K-T	Fail
368	2018/03/22_15:28:03	T1	296.0	K-T	Fail
369	2018/03/22_15:28:04	T1	296.1	K-T	Fail
370	2018/03/22_15:28:05	T1	296.0	K-T	Fail
371	2018/03/22_15:28:06	T1	296.0	K-T	Fail
372	2018/03/22_15:28:07	T1	296.0	K-T	Fail
373	2018/03/22_15:28:08	T1	296.0	K-T	Fail
374	2018/03/22_15:28:09	T1	296.1	K-T	Fail
375	2018/03/22_15:28:10	T1	296.0	K-T	Fail
376	2018/03/22_15:28:11	T1	296.0	K-T	Fail
377	2018/03/22_15:28:12	T1	296.0	K-T	Fail
378	2018/03/22_15:28:13	T1	296.0	K-T	Fail
379	2018/03/22_15:28:14	T1	296.1	K-T	Fail
380	2018/03/22_15:28:15	T1	296.1	K-T	Fail
381	2018/03/22_15:28:16	T1	296.0	K-T	Fail
382	2018/03/22_15:28:17	T1	296.1	K-T	Fail
383	2018/03/22_15:28:18	T1	296.0	K-T	Fail
384	2018/03/22_15:28:19	T1	296.0	K-T	Fail
385	2018/03/22_15:28:20	T1	296.0	K-T	Fail
386	2018/03/22_15:28:21	T1	296.0	K-T	Fail
387	2018/03/22_15:28:22	T1	296.0	K-T	Fail
388	2018/03/22_15:28:23	T1	296.0	K-T	Fail
389	2018/03/22_15:28:24	T1	296.0	K-T	Fail
390	2018/03/22_15:28:25	T1	296.0	K-T	Fail
391	2018/03/22_15:28:26	T1	296.0	K-T	Fail
392	2018/03/22_15:28:27	T1	296.0	K-T	Fail
393	2018/03/22_15:28:28	T1	296.0	K-T	Fail
394	2018/03/22_15:28:29	T1	296.0	K-T	Fail
395	2018/03/22_15:28:30	T1	296.1	K-T	Fail
396	2018/03/22_15:28:31	T1	296.0	K-T	Fail
397	2018/03/22_15:28:32	T1	296.0	K-T	Fail
398	2018/03/22_15:28:33	T1	296.0	K-T	Fail
399	2018/03/22_15:28:34	T1	296.1	K-T	Fail
400	2018/03/22_15:28:35	T1	296.0	K-T	Fail
401	2018/03/22_15:28:36	T1	296.1	K-T	Fail
402	2018/03/22_15:28:37	T1	296.0	K-T	Fail
403	2018/03/22_15:28:38	T1	296.0	K-T	Fail
404	2018/03/22_15:28:39	T1	296.0	K-T	Fail
405	2018/03/22_15:28:40	T1	296.0	K-T	Fail
406	2018/03/22_15:28:41	T1	296.0	K-T	Fail
407	2018/03/22_15:28:42	T1	296.0	K-T	Fail
408	2018/03/22_15:28:43	T1	296.0	K-T	Fail
409	2018/03/22_15:28:44	T1	296.0	K-T	Fail
410	2018/03/22_15:28:45	T1	296.0	K-T	Fail
411	2018/03/22_15:28:46	T1	296.0	K-T	Fail
412	2018/03/22_15:28:47	T1	296.0	K-T	Fail
413	2018/03/22_15:28:48	T1	296.0	K-T	Fail
414	2018/03/22_15:28:49	T1	296.0	K-T	Fail
415	2018/03/22_15:28:50	T1	296.1	K-T	Fail
416	2018/03/22_15:28:51	T1	296.0	K-T	Fail
417	2018/03/22_15:28:52	T1	296.0	K-T	Fail
418	2018/03/22_15:28:53	T1	296.0	K-T	Fail
419	2018/03/22_15:28:54	T1	296.0	K-T	Fail
420	2018/03/22_15:28:55	T1	296.0	K-T	Fail
421	2018/03/22_15:28:56	T1	296.0	K-T	Fail
422	2018/03/22_15:28:57	T1	296.0	K-T	Fail
423	2018/03/22_15:28:58	T1	296.1	K-T	Fail
