No	Time	T1/T2	Value	Unit	Judge
336	2018/03/19_13:50:39	T1	80.2	K-T	Fail
337	2018/03/19_13:50:40	T1	80.2	K-T	Fail
338	2018/03/19_13:50:41	T1	80.2	K-T	Fail
339	2018/03/19_13:50:42	T1	80.1	K-T	Fail
340	2018/03/19_13:50:43	T1	80.2	K-T	Fail
341	2018/03/19_13:50:44	T1	80.2	K-T	Fail
342	2018/03/19_13:50:45	T1	80.2	K-T	Fail
343	2018/03/19_13:50:46	T1	80.2	K-T	Fail
344	2018/03/19_13:50:47	T1	80.2	K-T	Fail
345	2018/03/19_13:50:48	T1	80.2	K-T	Fail
346	2018/03/19_13:50:49	T1	80.2	K-T	Fail
347	2018/03/19_13:50:50	T1	80.2	K-T	Fail
348	2018/03/19_13:50:51	T1	80.2	K-T	Fail
349	2018/03/19_13:50:52	T1	80.2	K-T	Fail
350	2018/03/19_13:50:53	T1	80.1	K-T	Fail
351	2018/03/19_13:50:54	T1	80.2	K-T	Fail
352	2018/03/19_13:50:55	T1	80.1	K-T	Fail
353	2018/03/19_13:50:56	T1	80.2	K-T	Fail
354	2018/03/19_13:50:57	T1	80.2	K-T	Fail
355	2018/03/19_13:50:58	T1	80.1	K-T	Fail
356	2018/03/19_13:50:59	T1	80.2	K-T	Fail
357	2018/03/19_13:51:00	T1	80.2	K-T	Fail
358	2018/03/19_13:51:01	T1	80.2	K-T	Fail
359	2018/03/19_13:51:02	T1	80.2	K-T	Fail
360	2018/03/19_13:51:03	T1	80.2	K-T	Fail
361	2018/03/19_13:51:04	T1	80.2	K-T	Fail
362	2018/03/19_13:51:05	T1	80.2	K-T	Fail
363	2018/03/19_13:51:06	T1	80.2	K-T	Fail
364	2018/03/19_13:51:07	T1	80.2	K-T	Fail
365	2018/03/19_13:51:08	T1	80.2	K-T	Fail
366	2018/03/19_13:51:09	T1	80.2	K-T	Fail
367	2018/03/19_13:51:10	T1	80.2	K-T	Fail
368	2018/03/19_13:51:11	T1	80.1	K-T	Fail
369	2018/03/19_13:51:12	T1	80.2	K-T	Fail
370	2018/03/19_13:51:13	T1	80.2	K-T	Fail
371	2018/03/19_13:51:14	T1	80.2	K-T	Fail
372	2018/03/19_13:51:15	T1	80.2	K-T	Fail
373	2018/03/19_13:51:16	T1	80.1	K-T	Fail
374	2018/03/19_13:51:17	T1	80.2	K-T	Fail
375	2018/03/19_13:51:18	T1	80.2	K-T	Fail
376	2018/03/19_13:51:19	T1	80.2	K-T	Fail
377	2018/03/19_13:51:20	T1	80.2	K-T	Fail
378	2018/03/19_13:51:21	T1	80.2	K-T	Fail
379	2018/03/19_13:51:22	T1	80.2	K-T	Fail
380	2018/03/19_13:51:23	T1	80.2	K-T	Fail
381	2018/03/19_13:51:24	T1	80.2	K-T	Fail
382	2018/03/19_13:51:25	T1	80.2	K-T	Fail
383	2018/03/19_13:51:26	T1	80.2	K-T	Fail
384	2018/03/19_13:51:27	T1	80.1	K-T	Fail
385	2018/03/19_13:51:28	T1	80.1	K-T	Fail
386	2018/03/19_13:51:29	T1	80.2	K-T	Fail
387	2018/03/19_13:51:30	T1	80.2	K-T	Fail
388	2018/03/19_13:51:31	T1	80.2	K-T	Fail
389	2018/03/19_13:51:32	T1	80.2	K-T	Fail
390	2018/03/19_13:51:33	T1	80.2	K-T	Fail
391	2018/03/19_13:51:34	T1	80.2	K-T	Fail
392	2018/03/19_13:51:35	T1	80.2	K-T	Fail
393	2018/03/19_13:51:36	T1	80.2	K-T	Fail
394	2018/03/19_13:51:37	T1	80.2	K-T	Fail
395	2018/03/19_13:51:38	T1	80.2	K-T	Fail
396	2018/03/19_13:51:39	T1	80.2	K-T	Fail
397	2018/03/19_13:51:40	T1	80.2	K-T	Fail
398	2018/03/19_13:51:41	T1	80.1	K-T	Fail
399	2018/03/19_13:51:42	T1	80.2	K-T	Fail
400	2018/03/19_13:51:43	T1	80.2	K-T	Fail
401	2018/03/19_13:51:44	T1	80.2	K-T	Fail
402	2018/03/19_13:51:45	T1	80.2	K-T	Fail
403	2018/03/19_13:51:46	T1	80.2	K-T	Fail
404	2018/03/19_13:51:47	T1	80.2	K-T	Fail
405	2018/03/19_13:51:48	T1	80.2	K-T	Fail
406	2018/03/19_13:51:49	T1	80.2	K-T	Fail
407	2018/03/19_13:51:50	T1	80.2	K-T	Fail
408	2018/03/19_13:51:51	T1	80.2	K-T	Fail
409	2018/03/19_13:51:52	T1	80.2	K-T	Fail
410	2018/03/19_13:51:53	T1	80.2	K-T	Fail
411	2018/03/19_13:51:54	T1	80.2	K-T	Fail
412	2018/03/19_13:51:55	T1	80.2	K-T	Fail
413	2018/03/19_13:51:56	T1	80.2	K-T	Fail
414	2018/03/19_13:51:57	T1	80.2	K-T	Fail
415	2018/03/19_13:51:58	T1	80.2	K-T	Fail
416	2018/03/19_13:51:59	T1	80.1	K-T	Fail
417	2018/03/19_13:52:00	T1	80.2	K-T	Fail
418	2018/03/19_13:52:01	T1	80.2	K-T	Fail
419	2018/03/19_13:52:02	T1	80.2	K-T	Fail
420	2018/03/19_13:52:03	T1	80.2	K-T	Fail
421	2018/03/19_13:52:04	T1	80.2	K-T	Fail
422	2018/03/19_13:52:05	T1	80.2	K-T	Fail
423	2018/03/19_13:52:06	T1	80.2	K-T	Fail
424	2018/03/19_13:52:07	T1	80.2	K-T	Fail
425	2018/03/19_13:52:08	T1	80.2	K-T	Fail
426	2018/03/19_13:52:09	T1	80.2	K-T	Fail
427	2018/03/19_13:52:10	T1	80.2	K-T	Fail
428	2018/03/19_13:52:11	T1	80.2	K-T	Fail
429	2018/03/19_13:52:12	T1	80.2	K-T	Fail
430	2018/03/19_13:52:13	T1	80.2	K-T	Fail
431	2018/03/19_13:52:14	T1	80.2	K-T	Fail
432	2018/03/19_13:52:15	T1	80.2	K-T	Fail
433	2018/03/19_13:52:16	T1	80.2	K-T	Fail
434	2018/03/19_13:52:17	T1	80.2	K-T	Fail
435	2018/03/19_13:52:18	T1	80.2	K-T	Fail
436	2018/03/19_13:52:19	T1	80.2	K-T	Fail
437	2018/03/19_13:52:20	T1	80.2	K-T	Fail
438	2018/03/19_13:52:21	T1	80.2	K-T	Fail
439	2018/03/19_13:52:22	T1	80.2	K-T	Fail
440	2018/03/19_13:52:23	T1	80.2	K-T	Fail
441	2018/03/19_13:52:24	T1	80.2	K-T	Fail
442	2018/03/19_13:52:25	T1	80.2	K-T	Fail
443	2018/03/19_13:52:26	T1	80.2	K-T	Fail
444	2018/03/19_13:52:27	T1	80.2	K-T	Fail
445	2018/03/19_13:52:28	T1	80.3	K-T	Fail
446	2018/03/19_13:52:29	T1	80.4	K-T	Fail
447	2018/03/19_13:52:30	T1	80.4	K-T	Fail
448	2018/03/19_13:52:31	T1	80.4	K-T	Fail
449	2018/03/19_13:52:32	T1	80.3	K-T	Fail
450	2018/03/19_13:52:33	T1	80.2	K-T	Fail
451	2018/03/19_13:52:34	T1	80.2	K-T	Fail
452	2018/03/19_13:52:35	T1	80.2	K-T	Fail
453	2018/03/19_13:52:36	T1	80.2	K-T	Fail
454	2018/03/19_13:52:37	T1	80.1	K-T	Fail
455	2018/03/19_13:52:38	T1	80.2	K-T	Fail
456	2018/03/19_13:52:39	T1	80.2	K-T	Fail
457	2018/03/19_13:52:40	T1	80.2	K-T	Fail
458	2018/03/19_13:52:41	T1	80.2	K-T	Fail
459	2018/03/19_13:52:42	T1	80.2	K-T	Fail
460	2018/03/19_13:52:43	T1	80.2	K-T	Fail
461	2018/03/19_13:52:44	T1	80.2	K-T	Fail
462	2018/03/19_13:52:45	T1	80.2	K-T	Fail
463	2018/03/19_13:52:46	T1	80.2	K-T	Fail
